NAME	LOCATION	STATUS	LATX	LONGX	TYPE
Malindang	Mindanao-Philippines	Holocene	8.216666667	123.6333333	Stratovolcano
Balatukan	Mindanao-Philippines	Uncertain	8.766666667	124.9833333	Compound volcano
Musuan	Mindanao-Philippines	Historical	7.876666667	125.0683333	Lava dome
Camiguin	Mindanao-Philippines	Historical	9.203333333	124.6733333	Stratovolcanoes
Paco	Mindanao-Philippines	Anthropology	9.593333333	125.52	Stratovolcano
Cuernos de Negros	Philippines-C	Fumarolic	9.25	123.1666667	Complex volcano
Kanlaon	Philippines-C	Historical	10.41166667	123.1316667	Stratovolcano
Mandalagan	Philippines-C	Fumarolic	10.65	123.25	Complex volcano
Silay	Philippines-C	Fumarolic	10.76666667	123.2333333	Stratovolcano
Cabalían	Philippines-C	Radiocarbon	10.28694444	125.2208333	Stratovolcano
Mahagnao	Philippines-C	Fumarolic	10.89583333	125.8666667	Stratovolcano
Biliran	Philippines-C	Historical	11.52333333	124.535	Compound volcano
Bulusan	Luzon-Philippines	Historical	12.77	124.05	Stratovolcanoes
Pocdol Mountains	Luzon-Philippines	Fumarolic	13.05	123.9583333	Compound volcano
Masaraga	Luzon-Philippines	Holocene	13.31666667	123.6	Stratovolcano
Mayon	Luzon-Philippines	Historical	13.25666667	123.685	Stratovolcano
Iriga	Luzon-Philippines	Holocene	13.45666667	123.4566667	Stratovolcano
Isarog	Luzon-Philippines	Fumarolic	13.65833333	123.3833333	Stratovolcano
Malindig	Luzon-Philippines	Hot Springs	13.24	122.0183333	Stratovolcano
Banahaw	Luzon-Philippines	Holocene	14.06666667	121.4833333	Complex volcano
San Pablo Volc Field	Luzon-Philippines	Anthropology	14.11666667	121.3	Stratovolcano
Taal	Luzon-Philippines	Historical	14.00166667	120.9933333	Caldera
Mariveles	Luzon-Philippines	Radiocarbon	14.51666667	120.4666667	Stratovolcano
Natib	Luzon-Philippines	Holocene?	14.71666667	120.4	Stratovolcano
Pinatubo	Luzon-Philippines	Historical	15.13333333	120.35	Stratovolcano
Arayat	Luzon-Philippines	Holocene?	15.2	120.7416667	Stratovolcano
Amorong	Luzon-Philippines	Fumarolic	15.82833333	120.805	Lava domes
Santo Tomas	Luzon-Philippines	Uncertain	16.33333333	120.55	Stratovolcano
Patoc	Luzon-Philippines	Fumarolic	17.14666667	120.98	Stratovolcano
Ambalatungan Group	Luzon-Philippines	Fumarolic	17.31666667	121.1	Compound volcano
Laguna Caldera	Luzon-Philippines	Fumarolic	14.41666667	121.2666667	Caldera
Cagua	Luzon-Philippines	Historical	18.22166667	122.1233333	Stratovolcano
Camiguin de Babuyanes	Luzon-N of	Historical	18.83333333	121.86	Stratovolcano
Didicas	Luzon-N of	Historical	19.07666667	122.2016667	Compound volcano
Babuyan Claro	Luzon-N of	Historical	19.52333333	121.94	Stratovolcanoes
Unnamed	Luzon-N of	Historical	20.33333333	121.75	Submarine volcano
Iraya	Luzon-N of	Historical	20.46861111	122.0097222	Stratovolcano
Hainan Dao	SE Asia	Historical	19.7	110.1	Pyroclastic cones
Leizhou Bandao	SE Asia	Holocene	20.78333333	110.1666667	Volcanic field
Cù-Lao Ré Group	SE Asia	Holocene	15.38333333	109.1166667	Volcanic field
Toroeng Prong	SE Asia	Holocene?	14.93333333	108	Cinder cone
Haut Dong Nai	SE Asia	Holocene?	11.6	108.2	Volcanic field
Bas Dong Nai	SE Asia	Holocene?	10.8	107.2	Volcanic field
Cendres, Ile des	SE Asia	Historical	10.1575	109.0138889	Submarine volcanoes
Veteran	SE Asia	Fumarolic	9.833333333	109.05	Submarine volcano
Popa	SE Asia	Anthropology	20.91666667	95.25	Stratovolcano
Lower Chindwin	SE Asia	Holocene?	22.28333333	95.1	Volcanic field
Singu Plateau	SE Asia	Holocene	22.7	95.98333333	Fissure vents
Tengchong	SE Asia	Uranium-series	25.23333333	98.5	Pyroclastic cones
Unnamed	Taiwan-E of	Uncertain	19.16666667	132.25	Submarine volcano?
Unnamed	Taiwan-E of	Uncertain	20.93333333	134.75	Submarine volcano?
Unnamed	Taiwan-E of	Uncertain	21.83333333	121.1833333	Submarine volcano
Kueishantao	Taiwan-E of	Historical	24.85	121.9166667	Stratovolcano
Tatun Group	Taiwan	Radiocarbon	25.16666667	121.5166667	Lava domes
Unnamed	Taiwan-E of	Historical	24	121.8333333	Submarine volcano
Unnamed	Taiwan-N of	Uncertain	25.4	122.2	Submarine volcano
Zengyu	Taiwan-N of	Uncertain	26.18333333	122.4583333	Submarine volcano
Iriomote-jima	Ryukyu Is	Historical	24.55833333	124	Submarine volcano
Yokoate-jima	Ryukyu Is	Historical	28.79694444	128.9969444	Stratovolcanoes
Akuseki-jima	Ryukyu Is	Holocene?	29.46138889	129.5969444	Stratovolcanoes
Iwo-Tori-shima	Ryukyu Is	Historical	27.87722222	128.2244444	Complex volcano
Suwanose-jima	Ryukyu Is	Historical	29.63472222	129.7161111	Stratovolcanoes
Kogaja-jima	Ryukyu Is	Holocene?	29.87888889	129.6247222	Lava domes
Kuchino-shima	Ryukyu Is	Radiocarbon	29.96444444	129.9275	Stratovolcanoes
Nakano-shima	Ryukyu Is	Historical	29.85555556	129.8591667	Stratovolcanoes
Kuchinoerabu-jima	Ryukyu Is	Historical	30.43972222	130.2194444	Stratovolcanoes
Kikai	Ryukyu Is	Historical	30.78944444	130.3075	Caldera
Ibusuki Volc Field	Kyushu-Japan	Historical	31.21666667	130.5666667	Calderas
Sumiyoshi-ike	Kyushu-Japan	Radiocarbon	31.76833333	130.5941667	Maars
Sakura-jima	Kyushu-Japan	Historical	31.585	130.6569444	Stratovolcano
Fukue-jima	Kyushu-Japan	Tephrochronology	32.65305556	128.8511111	Shield volcanoes
Kirishima	Kyushu-Japan	Historical	31.93083333	130.8638889	Shield volcano
Unzen	Kyushu-Japan	Historical	32.75666667	130.2944444	Complex volcano
Aso	Kyushu-Japan	Historical	32.88083333	131.1063889	Caldera
Kuju	Kyushu-Japan	Historical	33.0825	131.2513889	Stratovolcanoes
Tsurumi	Kyushu-Japan	Historical	33.28333333	131.4322222	Lava domes
Abu	Honshu-Japan	Thermoluminescence	34.5	131.6	Shield volcanoes
Sanbe	Honshu-Japan	Radiocarbon	35.13333333	132.6166667	Stratovolcano
Oki-Dogo	Honshu-Japan	Anthropology	36.17638889	133.3341667	Shield volcano
Izu-Tobu	Honshu-Japan	Historical	34.89972222	139.0977778	Pyroclastic cones
Hakone	Honshu-Japan	Radiocarbon	35.23	139.0238889	Complex volcano
Kita Yatsuga-take	Honshu-Japan	Radiocarbon	36.1	138.3	Stratovolcanoes
Fuji	Honshu-Japan	Historical	35.3575	138.7305556	Stratovolcano
On-take	Honshu-Japan	Historical	35.88972222	137.4833333	Complex volcano
Haku-san	Honshu-Japan	Historical	36.15194444	136.7744444	Stratovolcano
Norikura	Honshu-Japan	Radiocarbon	36.10333333	137.5566667	Stratovolcanoes
Washiba-Kumonotaira	Honshu-Japan	Holocene	36.40805556	137.5941667	Shield volcanoes
Yake-dake	Honshu-Japan	Historical	36.22361111	137.59	Stratovolcanoes
Tate-yama	Honshu-Japan	Historical	36.56805556	137.5927778	Stratovolcano
Niigata-Yake-yama	Honshu-Japan	Historical	36.91777778	138.0391667	Lava dome
Myoko	Honshu-Japan	Radiocarbon	36.88833333	138.1166667	Stratovolcano
Asama	Honshu-Japan	Historical	36.40333333	138.5261111	Complex volcano
Shiga	Honshu-Japan	Holocene?	36.6875	138.5191667	Shield volcanoes
Haruna	Honshu-Japan	Anthropology	36.47388889	138.8813889	Stratovolcano
Kusatsu-Shirane	Honshu-Japan	Historical	36.61972222	138.535	Stratovolcanoes
Hiuchi	Honshu-Japan	Historical	36.95194444	139.2886111	Stratovolcano
Akagi	Honshu-Japan	Holocene?	36.55722222	139.1963889	Stratovolcano
Nantai	Honshu-Japan	Radiocarbon	36.76194444	139.4941667	Stratovolcano
Omanago Group	Honshu-Japan	Radiocarbon	36.79222222	139.5102778	Lava domes
Takahara	Honshu-Japan	Holocene	36.89694444	139.78	Stratovolcano
Nikko-Shirane	Honshu-Japan	Historical	36.79555556	139.3791667	Shield volcano
Numazawa	Honshu-Japan	Radiocarbon	37.45027778	139.5788889	Shield volcano
Nasu	Honshu-Japan	Historical	37.12166667	139.9661111	Stratovolcanoes
Bandai	Honshu-Japan	Historical	37.59805556	140.0755556	Stratovolcano
