NAME	LOCATION	STATUS	LATX	LONGX	TYPE
Ostanets	Kamchatka	Holocene	52.14583333	157.3216667	Shield volcanoes
Otdelniy	Kamchatka	Holocene	52.22	157.4283333	Shield volcanoes
Golaya	Kamchatka	Holocene	52.2625	157.7866667	Stratovolcano
Asacha	Kamchatka	Holocene	52.355	157.8266667	Complex volcano
Visokiy	Kamchatka	Holocene	52.43333333	157.9333333	Stratovolcano
Ksudach	Kamchatka	Historical	51.8	157.5333333	Stratovolcano
Mutnovsky	Kamchatka	Historical	52.45333333	158.195	Complex volcano
Gorely	Kamchatka	Historical	52.55833333	158.0333333	Caldera
Unnamed	Kamchatka	Holocene	52.56666667	157.0166667	Cinder cone
Tolmachev Dol	Kamchatka	Radiocarbon	52.63333333	157.5833333	Cinder cones
Vilyuchik	Kamchatka	Tephrochronology	52.7	158.2833333	Stratovolcano
Barkhatnaya Sopka	Kamchatka	Tephrochronology	52.82333333	158.2666667	Lava domes
Unnamed	Kamchatka	Holocene	52.91666667	158.5166667	Shield volcanoes
Unnamed	Kamchatka	Holocene	52.88333333	158.3	Shield volcanoes
Bolshe-Bannaya	Kamchatka	Holocene	52.9	157.7833333	Lava domes
Opala	Kamchatka	Historical	52.54333333	157.335	Caldera
Koryaksky	Kamchatka	Historical	53.32	158.6883333	Stratovolcano
Avachinsky	Kamchatka	Historical	53.255	158.83	Stratovolcano
Dzenzursky	Kamchatka	Holocene	53.63666667	158.9216667	Compound volcano
Veer	Kamchatka	Tephrochronology	53.75	158.45	Cinder cones
Kostakan	Kamchatka	Holocene	53.83333333	158.05	Cinder cones
Bakening	Kamchatka	Tephrochronology	53.905	158.0666667	Stratovolcano
Zavaritsky	Kamchatka	Radiocarbon	53.905	158.385	Cinder cones
Akademia Nauk	Kamchatka	Historical	53.98333333	159.45	Stratovolcanoes
Zhupanovsky	Kamchatka	Historical	53.59	159.1466667	Compound volcano
Karymsky	Kamchatka	Historical	54.05	159.45	Stratovolcano
Maly Semiachik	Kamchatka	Historical	54.13333333	159.6666667	Caldera
Bolshoi Semiachik	Kamchatka	Radiocarbon	54.31666667	160.0166667	Stratovolcanoes
Taunshits	Kamchatka	Radiocarbon	54.53333333	159.8	Stratovolcano
Uzon	Kamchatka	Radiocarbon	54.5	159.9666667	Calderas
Kikhpinych	Kamchatka	Radiocarbon	54.48666667	160.2533333	Stratovolcanoes
Krasheninnikov	Kamchatka	Radiocarbon	54.59333333	160.2733333	Caldera
Schmidt	Kamchatka	Holocene	54.91666667	160.6333333	Shield volcano
Kronotsky	Kamchatka	Historical	54.75333333	160.5266667	Stratovolcano
Gamchen	Kamchatka	Tephrochronology	54.97333333	160.7016667	Complex volcano
Vysoky	Kamchatka	Radiocarbon	55.06666667	160.7666667	Stratovolcano
Komarov	Kamchatka	Radiocarbon	55.03166667	160.72	Stratovolcano
Unnamed	Kamchatka	Holocene?	55.91666667	161.75	Cinder cones
Kizimen	Kamchatka	Historical	55.13	160.3166667	Stratovolcano
Udina	Kamchatka	Holocene	55.755	160.5266667	Stratovolcanoes
Zimina	Kamchatka	Holocene	55.86166667	160.6033333	Stratovolcanoes
Tolbachik	Kamchatka	Historical	55.83	160.33	Shield volcano
Kamen	Kamchatka	Holocene	56.01666667	160.5933333	Stratovolcano
Bezymianny	Kamchatka	Historical	55.97833333	160.5866667	Stratovolcano
Ushkovsky	Kamchatka	Historical	56.07027778	160.47	Compound volcano
Kliuchevskoi	Kamchatka	Historical	56.05666667	160.6383333	Stratovolcano
Piip	Kamchatka-E of	Tephrochronology	55.41666667	167.3333333	Submarine volcano
Khangar	Kamchatka	Radiocarbon	54.75	157.3833333	Stratovolcano
Cherpuk Group	Kamchatka	Radiocarbon	55.55	157.4666667	Pyroclastic cones
Shiveluch	Kamchatka	Historical	56.65333333	161.36	Stratovolcano
Ichinsky	Kamchatka	Historical	55.68333333	157.7333333	Stratovolcano
Maly Payalpan	Kamchatka	Holocene?	55.81666667	157.9833333	Shield volcanoes
Bolshoi Payalpan	Kamchatka	Holocene?	55.88333333	157.7833333	Shield volcanoes
Plosky	Kamchatka	Holocene?	55.2	158.4666667	Shield volcano
Akhtang	Kamchatka	Holocene?	55.43333333	158.65	Shield volcano
Kozyrevsky	Kamchatka	Holocene?	55.58333333	158.3833333	Shield volcano
Romanovka	Kamchatka	Holocene?	55.65	158.8	Stratovolcano
Uksichan	Kamchatka	Holocene?	56.08333333	158.3833333	Shield volcano
Bolshoi-Kekuknaysky	Kamchatka	Radiocarbon	56.46666667	157.8	Shield volcanoes
Kulkev	Kamchatka	Holocene?	56.36666667	158.3666667	Shield volcano
Geodesistoy	Kamchatka	Holocene?	56.33333333	158.6666667	Shield volcano
Anaun	Kamchatka	Holocene?	56.31666667	158.8333333	Stratovolcano
Krainy	Kamchatka	Holocene?	56.36666667	159.0333333	Shield volcano
Kekurny	Kamchatka	Holocene?	56.4	158.85	Shield volcanoes
Eggella	Kamchatka	Holocene?	56.56666667	158.5166667	Shield volcano
Unnamed	Kamchatka	Holocene?	56.81666667	158.95	Shield volcano
Verkhovoy	Kamchatka	Holocene?	56.51666667	159.5333333	Shield volcano
Alney-Chashakondzha	Kamchatka	Radiocarbon	56.7	159.65	Stratovolcano
Cherny	Kamchatka	Holocene?	56.81666667	159.6666667	Stratovolcano
Pogranychny	Kamchatka	Holocene?	56.85	159.8	Shield volcanoes
Zaozerny	Kamchatka	Holocene?	56.88333333	159.95	Shield volcanoes
Bliznets	Kamchatka	Holocene?	56.96666667	159.7833333	Stratovolcano
Kebeney	Kamchatka	Holocene?	57.1	159.9333333	Shield volcano
Fedotych	Kamchatka	Holocene?	57.13333333	160.4	Shield volcano
Shisheika	Kamchatka	Radiocarbon	57.15	161.0833333	Lava dome
Terpuk	Kamchatka	Radiocarbon	57.2	159.8333333	Shield volcano
Sedankinsky	Kamchatka	Radiocarbon	57.26666667	160.0833333	Shield volcano
Leutongey	Kamchatka	Holocene?	57.3	159.8333333	Shield volcano
Tuzovsky	Kamchatka	Holocene?	57.31666667	159.9666667	Shield volcanoes
Gorny Institute	Kamchatka	Radiocarbon	57.33333333	160.2	Stratovolcano
Kinenin	Kamchatka	Radiocarbon	57.35	160.9666667	Maar
Bliznetsy	Kamchatka	Radiocarbon	57.35	161.3666667	Lava cone
Titila	Kamchatka	Radiocarbon	57.4	160.1	Shield volcanoes
Mezhdusopochny	Kamchatka	Holocene?	57.46666667	160.25	Shield volcano
Shishel	Kamchatka	Holocene?	57.45	160.3666667	Shield volcano
Elovsky	Kamchatka	Tephrochronology	57.55	160.5333333	Shield volcanoes
Alngey	Kamchatka	Holocene?	57.7	160.4	Stratovolcano
Uka	Kamchatka	Holocene?	57.7	160.5833333	Shield volcano
Kaileney	Kamchatka	Holocene?	57.8	160.6666667	Shield volcano
Plosky	Kamchatka	Holocene?	57.83333333	160.25	Shield volcano
Bely	Kamchatka	Holocene?	57.88333333	160.5333333	Shield volcanoes
Nylgimelkin	Kamchatka	Radiocarbon	57.96666667	160.65	Shield volcanoes
Snezhniy	Kamchatka	Holocene?	58.01666667	160.8	Shield volcano
Iktunup	Kamchatka	Holocene?	58.08333333	160.7666667	Shield volcanoes
Spokoiny	Kamchatka	Radiocarbon	58.13333333	160.8166667	Stratovolcano
Ostry	Kamchatka	Holocene	58.18333333	160.8166667	Stratovolcano
Snegovoy	Kamchatka	Holocene?	58.2	160.9666667	Shield volcano
Severny	Kamchatka	Radiocarbon	58.28333333	160.8666667	Shield volcano
Iettunup	Kamchatka	Holocene?	58.4	161.0833333	Shield volcanoes
Voyampolsky	Kamchatka	Holocene?	58.36666667	160.6166667	Shield volcanoes
Sikhote-Alin	Russia-SE	Holocene	47	137.5	Volcanic field
Udokan Plateau	Russia-SE	Radiocarbon	56.28333333	117.7666667	Pyroclastic cones
Vitim Plateau	Russia-SE	Holocene	53.7	113.3	Cinder cones
Tunkin Depression	Russia-SE	Holocene?	51.5	102.5	Volcanic field
Oka Plateau	Russia-SE	Holocene	52.7	98.98333333	Cinder cones
Azas Plateau	Russia-SE	Holocene	52.51666667	98.6	Volcanic field
Taryatu-Chulutu	Mongolia	Radiocarbon	48.16666667	99.7	Volcanic field
Khanuy Gol	Mongolia	Holocene	48.66666667	102.75	Volcanic field
Bus-Obo	Mongolia	Holocene?	47.11666667	109.0833333	Cinder cone
Dariganga Volc Field	Mongolia	Holocene	45.33333333	114	Cinder cones
Middle Gobi	Mongolia	Holocene?	45.28333333	106.7	Cinder cones
Turfan	China-W	Historical	42.9	89.25	Cone
Tianshan Volc Group	China-W	Historical	42.5	82.5	Volcanic field
Kunlun Volc Group	China-W	Historical	35.51666667	80.2	Pyroclastic cones
Unnamed	China-W	Uncertain	35.85	91.7	Volcanic field
Honggeertu	China-E	Holocene?	41.46666667	113	Cinder cones
Arshan	China-E	Radiocarbon	47.5	120.7	Cinder cones
Keluo Group	China-E	Holocene	49.36666667	125.9166667	Pyroclastic cones
Wudalianchi	China-E	Historical	48.71666667	126.1166667	Volcanic field
Jingbo	China-E	Radiocarbon	44.08333333	128.8333333	Volcanic field
Longgang Group	China-E	Radiocarbon	42.33333333	126.5	Cinder cones
Changbaishan	China-E	Historical	41.98333333	128.0833333	Stratovolcano
Xianjindao	Korea	Uncertain	41.33333333	128	Unknown
Ch'uga-ryong	Korea	Holocene?	38.33333333	127.3333333	Shield volcano
Ulreung	Korea	Radiocarbon	37.5	130.8666667	Stratovolcano
Halla	Korea	Historical	33.36666667	126.5333333	Shield volcano
Buldir	Aleutian Is	Holocene?	52.35	175.9105556	Stratovolcano
Kiska	Aleutian Is	Historical	52.10277778	177.6019444	Stratovolcano
Segula	Aleutian Is	Holocene	52.01527778	178.1355556	Stratovolcano
Davidof	Aleutian Is	Holocene?	51.96666667	178.3333333	Stratovolcano
Little Sitkin	Aleutian Is	Historical	51.95	178.5430556	Stratovolcano
Semisopochnoi	Aleutian Is	Historical	51.93333333	179.5833333	Stratovolcano
Gareloi	Aleutian Is	Historical	51.79027778	-178.7938889	Stratovolcano
Tanaga	Aleutian Is	Historical	51.885	-178.1458333	Stratovolcanoes
Takawangha	Aleutian Is	Radiocarbon	51.87277778	-178.0055556	Stratovolcano
Bobrof	Aleutian Is	Holocene?	51.91	-177.4383333	Stratovolcano
Kanaga	Aleutian Is	Historical	51.92277778	-177.1677778	Stratovolcano
Moffett	Aleutian Is	Radiocarbon	51.94388889	-176.7466667	Stratovolcano
Great Sitkin	Aleutian Is	Historical	52.07611111	-176.13	Stratovolcano
Kasatochi	Aleutian Is	Historical	52.1775	-175.5083333	Stratovolcano
Koniuji	Aleutian Is	Ar/Ar	52.21666667	-175.1333333	Stratovolcano
Sergief	Aleutian Is	Uncertain	52.05	-174.95	Stratovolcano
Atka	Aleutian Is	Historical	52.33166667	-174.1366667	Stratovolcanoes
Korovin	Aleutian Is	Historical	52.38111111	-174.1541667	Stratovolcanoes
Seguam	Aleutian Is	Historical	52.31527778	-172.5097222	Stratovolcanoes
Amukta	Aleutian Is	Historical	52.5	-171.2522222	Stratovolcano
Chagulak	Aleutian Is	Holocene	52.57666667	-171.1333333	Stratovolcano
Yunaska	Aleutian Is	Historical	52.64277778	-170.6286111	Shield volcano
Herbert	Aleutian Is	Holocene	52.74222222	-170.1105556	Stratovolcano
Carlisle	Aleutian Is	Historical	52.89388889	-170.0541667	Stratovolcano
Cleveland	Aleutian Is	Historical	52.825	-169.9438889	Stratovolcano
Tana	Aleutian Is	Holocene	52.83333333	-169.7666667	Stratovolcanoes
Uliaga	Aleutian Is	Holocene	53.065	-169.7666667	Stratovolcano
Kagamil	Aleutian Is	Historical	52.97361111	-169.7166667	Stratovolcano
Vsevidof	Aleutian Is	Historical	53.13	-168.6930556	Stratovolcano
Recheschnoi	Aleutian Is	Holocene	53.15666667	-168.5388889	Stratovolcano
Okmok	Aleutian Is	Historical	53.43333333	-168.1333333	Shield volcano
Bogoslof	Aleutian Is	Historical	53.93333333	-168.0333333	Submarine volcano
Makushin	Aleutian Is	Historical	53.89083333	-166.9227778	Stratovolcano
Akutan	Aleutian Is	Historical	54.13444444	-165.9861111	Stratovolcano
Westdahl	Aleutian Is	Historical	54.51833333	-164.65	Stratovolcano?
Fisher	Aleutian Is	Historical	54.65	-164.4333333	Stratovolcano
Shishaldin	Aleutian Is	Historical	54.75555556	-163.9666667	Stratovolcano
Isanotski	Aleutian Is	Uncertain	54.765	-163.7225	Stratovolcano
Roundtop	Aleutian Is	Radiocarbon	54.8	-163.5888889	Stratovolcano
Amak	Aleutian Is	Historical	55.42388889	-163.1491667	Stratovolcano
Frosty	Alaska Peninsula	Holocene	55.08166667	-162.8138889	Stratovolcanoes
Dutton	Alaska Peninsula	Holocene	55.16805556	-162.2716667	Stratovolcano
Emmons Lake	Alaska Peninsula	Holocene	55.34055556	-162.0786111	Caldera
Pavlof	Alaska Peninsula	Historical	55.41666667	-161.8875	Stratovolcano
Pavlof Sister	Alaska Peninsula	Holocene	55.45277778	-161.8430556	Stratovolcano
Dana	Alaska Peninsula	Radiocarbon	55.64111111	-161.2138889	Stratovolcano
Stepovak Bay 2	Alaska Peninsula	Holocene	55.9125	-160.0408333	Cinder cone
Stepovak Bay 3	Alaska Peninsula	Holocene?	55.92916667	-160.0019444	Cinder cone
Stepovak Bay 4	Alaska Peninsula	Pleistocene	55.95416667	-159.9541667	Stratovolcano
Kupreanof	Alaska Peninsula	Historical	56.01111111	-159.7972222	Stratovolcano
Veniaminof	Alaska Peninsula	Historical	56.16666667	-159.3833333	Stratovolcano
Black Peak	Alaska Peninsula	Radiocarbon	56.5525	-158.7847222	Stratovolcano
Aniakchak	Alaska Peninsula	Historical	56.88333333	-158.1666667	Caldera
Yantarni	Alaska Peninsula	Tephrochronology	57.01861111	-157.185	Stratovolcano
Chiginagak	Alaska Peninsula	Historical	57.135	-156.99	Stratovolcano
Kialagvik	Alaska Peninsula	Holocene	57.20277778	-156.7452778	Stratovolcano
Ugashik-Peulik	Alaska Peninsula	Historical	57.75083333	-156.3680556	Stratovolcano
Ukinrek Maars	Alaska Peninsula	Historical	57.83166667	-156.5097222	Maars
Unnamed	Alaska Peninsula	Holocene	57.86666667	-155.4166667	Lava dome
Martin	Alaska Peninsula	Historical	58.17222222	-155.3611111	Stratovolcano
Mageik	Alaska Peninsula	Radiocarbon	58.19472222	-155.2527778	Stratovolcano
Trident	Alaska Peninsula	Historical	58.23555556	-155.1	Stratovolcano
Katmai	Alaska Peninsula	Historical	58.27972222	-154.9633333	Stratovolcano
Novarupta	Alaska Peninsula	Historical	58.26666667	-155.1566667	Caldera
Griggs	Alaska Peninsula	Radiocarbon	58.35388889	-155.0916667	Stratovolcano
Snowy Mountain	Alaska Peninsula	Radiocarbon	58.33555556	-154.6819444	Stratovolcanoes
Denison	Alaska Peninsula	Holocene?	58.41777778	-154.4491667	Stratovolcano
Steller	Alaska Peninsula	Holocene	58.43333333	-154.4	Stratovolcano
Kukak	Alaska Peninsula	Fumarolic	58.45277778	-154.355	Stratovolcano
Kaguyak	Alaska Peninsula	Holocene	58.60833333	-154.0277778	Lava domes
Fourpeaked	Alaska Peninsula	Historical	58.77	-153.6722222	Stratovolcano
Douglas	Alaska Peninsula	Holocene	58.85527778	-153.5419444	Stratovolcano
Augustine	Alaska-SW	Historical	59.36333333	-153.4333333	Lava domes
Iliamna	Alaska-SW	Historical	60.03194444	-153.0902778	Stratovolcano
Redoubt	Alaska-SW	Historical	60.48527778	-152.7419444	Stratovolcano
Spurr	Alaska-SW	Historical	61.29944444	-152.2511111	Stratovolcano
Hayes	Alaska-SW	Radiocarbon	61.64027778	-152.4113889	Stratovolcano
St. Paul Island	Alaska-W	Radiocarbon	57.18333333	-170.3	Shield volcano
Nunivak Island	Alaska-W	Holocene	60.01666667	-166.3333333	Shield volcano
Ingakslugwat Hills	Alaska-W	Holocene	61.43333333	-164.4666667	Cinder cones
St. Michael	Alaska-W	Anthropology	63.45	-162.1166667	Shield volcanoes
Kookooligit Mountains	Alaska-W	Holocene	63.6	-170.4333333	Shield volcano
Imuruk Lake	Alaska-W	Radiocarbon	65.6	-163.9166667	Shield volcanoes
Buzzard Creek	Alaska-E	Radiocarbon	64.06666667	-148.4166667	Tuff rings
Sanford	Alaska-E	Holocene?	62.21666667	-144.1333333	Shield volcano
Wrangell	Alaska-E	Historical	62	-144.0166667	Shield volcano
Gordon	Alaska-E	Holocene?	62.13333333	-143.0833333	Cinder cones
Churchill	Alaska-E	Radiocarbon	61.38333333	-141.75	Stratovolcano
Edgecumbe	Alaska-E	Radiocarbon	57.05	-135.75	Stratovolcanoes
Duncan Canal	Alaska-E	Holocene	56.5	-133.1	Volcanic field
Tlevak Strait-Suemez Is.	Alaska-E	Holocene	55.25	-133.3	Volcanic field
Behm Canal-Rudyerd Bay	Alaska-E	Holocene?	55.31666667	-131.05	Cinder cones
Fort Selkirk	Canada	Holocene?	62.93333333	-137.3833333	Volcanic field
Alligator Lake	Canada	Holocene	60.41666667	-135.4166667	Volcanic field
Atlin Volc Field	Canada	Holocene	59.68333333	-133.3166667	Cinder cones
Tuya Volc Field	Canada	Holocene	59.36666667	-130.5833333	Volcanic field
Heart Peaks	Canada	Holocene?	58.6	-131.9666667	Shield volcano
Level Mountain	Canada	Holocene?	58.41666667	-131.35	Shield volcano
Edziza	Canada	Radiocarbon	57.71666667	-130.6333333	Stratovolcano
Spectrum Range	Canada	Holocene	57.43333333	-130.6833333	Shield volcano
Hoodoo Mountain	Canada	Tephrochronology	56.78333333	-131.2833333	Subglacial volcano
Iskut-Unuk River Cones	Canada	Radiocarbon	56.58333333	-130.55	Cinder cones
Tseax River Cone	Canada	Radiocarbon	55.11666667	-128.9	Pyroclastic cone
Crow Lagoon	Canada	Holocene	54.7	-130.2333333	Pyroclastic cone
Milbanke Sound Group	Canada	Holocene	52.5	-128.7333333	Cinder cones
Satah Mountain	Canada	Holocene	52.46666667	-124.7	Volcanic field
Nazko	Canada	Radiocarbon	52.9	-123.7333333	Cinder cones
Wells Gray-Clearwater	Canada	Dendrochronology	52.33333333	-120.5666667	Cinder cones
Silverthrone	Canada	Holocene	51.43333333	-126.3	Caldera
Bridge River Cones	Canada	Holocene	50.8	-123.4	Volcanic field
Meager	Canada	Radiocarbon	50.63333333	-123.5	Complex volcano
Garibaldi Lake	Canada	Holocene	49.91666667	-123.0333333	Volcanic field
Garibaldi	Canada	Radiocarbon	49.85	-123	Stratovolcano
Baker	US-Washington	Historical	48.77666667	-121.8130556	Stratovolcanoes
Glacier Peak	US-Washington	Tephrochronology	48.11166667	-121.1127778	Stratovolcano
Rainier	US-Washington	Historical	46.85277778	-121.7602778	Stratovolcano
Adams	US-Washington	Tephrochronology	46.20555556	-121.4897222	Stratovolcano
St. Helens	US-Washington	Historical	46.2	-122.1833333	Stratovolcano
West Crater	US-Washington	Radiocarbon	45.88333333	-122.0833333	Volcanic field
Indian Heaven	US-Washington	Radiocarbon	45.93333333	-121.8166667	Shield volcanoes
Hood	US-Oregon	Historical	45.37361111	-121.6947222	Stratovolcano
Jefferson	US-Oregon	Varve Count	44.67416667	-121.7997222	Stratovolcano
Blue Lake Crater	US-Oregon	Radiocarbon	44.41138889	-121.7738889	Maar
Sand Mountain Field	US-Oregon	Radiocarbon	44.38333333	-121.9333333	Cinder cones
Belknap	US-Oregon	Radiocarbon	44.28527778	-121.8411111	Shield volcanoes
North Sister Field	US-Oregon	Radiocarbon	44.16666667	-121.7666667	Complex volcano
South Sister	US-Oregon	Radiocarbon	44.10277778	-121.7683333	Complex volcano
Bachelor	US-Oregon	Tephrochronology	43.97944444	-121.6875	Stratovolcano
Davis Lake	US-Oregon	Radiocarbon	43.56666667	-121.8166667	Volcanic field
Newberry	US-Oregon	Radiocarbon	43.72222222	-121.2288889	Shield volcano
Devils Garden	US-Oregon	Holocene?	43.51166667	-120.8613889	Volcanic field
Squaw Ridge Lava Field	US-Oregon	Holocene?	43.47222222	-120.7536111	Volcanic field
Four Craters Lava Field	US-Oregon	Holocene?	43.36111111	-120.6694444	Volcanic field
Cinnamon Butte	US-Oregon	Holocene?	43.24111111	-122.1083333	Cinder cones
Crater Lake	US-Oregon	Radiocarbon	42.93333333	-122.1166667	Caldera
Diamond Craters	US-Oregon	Holocene?	43.1	-118.75	Volcanic field
Jordan Craters	US-Oregon	Radiocarbon	43.14722222	-117.4597222	Volcanic field
Shasta	US-California	Historical	41.40888889	-122.1933333	Stratovolcano
Medicine Lake	US-California	Radiocarbon	41.61111111	-121.5536111	Shield volcano
Brushy Butte	US-California	Holocene?	41.17777778	-121.4433333	Shield volcano
Twin Buttes	US-California	Holocene?	40.7775	-121.5905556	Cinder cones
Silver Lake	US-California	Holocene?	40.73055556	-121.8408333	Cinder cones
Tumble Buttes	US-California	Holocene?	40.68333333	-121.55	Cinder cones
Lassen Volc Center	US-California	Historical	40.49166667	-121.5083333	Stratovolcano
Eagle Lake Field	US-California	Holocene?	40.63333333	-120.8333333	Fissure vents
Clear Lake	US-California	Holocene	38.96666667	-122.7666667	Volcanic field
Mono Lake Volc Field	US-California	Tephrochronology	38	-119.0333333	Cinder cones
Mono Craters	US-California	Radiocarbon	37.88333333	-119	Lava domes
Inyo Craters	US-California	Radiocarbon	37.69166667	-119.0166667	Lava domes
Mammoth Mountain	US-California	Radiocarbon	37.63055556	-119.0316667	Lava domes
Ubehebe Craters	US-California	Anthropology	37.01666667	-117.45	Maars
Golden Trout Creek	US-California	Tephrochronology	36.35833333	-118.3166667	Volcanic field
Coso Volc Field	US-California	Holocene?	36.03333333	-117.8166667	Lava domes
Lavic Lake	US-California	Holocene?	34.75	-116.625	Volcanic field
Salton Buttes	US-California	Hydration Rind	33.2	-115.6166667	Lava domes
Shoshone Lava Field	US-Idaho	Holocene	43.18333333	-114.35	Shield volcano
Craters of the Moon	US-Idaho	Radiocarbon	43.41666667	-113.5	Cinder cones
Wapi Lava Field	US-Idaho	Radiocarbon	42.88333333	-113.2166667	Shield volcano
Hell's Half Acre	US-Idaho	Radiocarbon	43.5	-112.45	Shield volcano
Yellowstone	US-Wyoming	Tephrochronology	44.43333333	-110.6666667	Calderas
Soda Lakes	US-Nevada	Holocene	39.53333333	-118.8666667	Maars
Santa Clara	US-Utah	Holocene?	37.25694444	-113.625	Volcanic field
Bald Knoll	US-Utah	Holocene	37.32777778	-112.4077778	Cinder cones
Markagunt Plateau	US-Utah	Dendrochronology	37.58333333	-112.6666667	Volcanic field
Black Rock Desert	US-Utah	Radiocarbon	38.96666667	-112.5	Volcanic field
Dotsero	US-Colorado	Radiocarbon	39.66055556	-107.035	Maar
Uinkaret Field	US-Arizona	Anthropology	36.38333333	-113.1333333	Volcanic field
Sunset Crater	US-Arizona	Dendrochronology	35.36666667	-111.5	Cinder cone
Carrizozo	US-New Mexico	Surface Exposure	33.78333333	-105.9333333	Cinder cones
Zuni-Bandera	US-New Mexico	Anthropology	34.8	-108	Volcanic field
Endeavour Ridge	Pacific-NE	Uranium-series	47.95	-129.1	Submarine volcano
Cobb Segment	Pacific-NE	Uranium-series	46.88333333	-129.3333333	Submarine volcano
CoAxial Segment	Pacific-NE	Historical	46.51666667	-129.5833333	Submarine volcano
Axial Seamount	Pacific-NE	Historical	45.95	-130	Submarine volcano
Cleft Segment	Pacific-NE	Historical	44.83333333	-130.3	Submarine volcano
North Gorda Ridge	Pacific-NE	Historical	42.66666667	-126.7833333	Submarine volcano
Escanaba Segment	Pacific-NE	Uranium-series	40.98333333	-127.5	Submarine volcano
Unnamed	Pacific-NE	Uncertain	31.75	-124.25	Submarine volcano?
Loihi	Hawaiian Is	Historical	18.91666667	-155.2666667	Submarine volcano
Kilauea	Hawaiian Is	Historical	19.42111111	-155.2866667	Shield volcano
Mauna Loa	Hawaiian Is	Historical	19.475	-155.6083333	Shield volcano
Mauna Kea	Hawaiian Is	Radiocarbon	19.81666667	-155.4666667	Shield volcano
Hualalai	Hawaiian Is	Historical	19.69166667	-155.8666667	Shield volcano
Haleakala	Hawaiian Is	Anthropology	20.70833333	-156.25	Shield volcano
Unnamed	Hawaiian Is	Uncertain	21.75	-158.75	Submarine volcano?
Unnamed	Hawaiian Is	Historical	23.58333333	-163.8333333	Submarine volcano
Teahitia	Society Is-C Pacific	Seismicity	-17.56666667	-148.85	Submarine volcano
Rocard	Society Is-C Pacific	Seismicity	-17.64166667	-148.6	Submarine volcano
Moua Pihaa	Society Is-C Pacific	Seismicity	-18.31666667	-148.6666667	Submarine volcano
Mehetia	Society Is-C Pacific	Anthropology	-17.86666667	-148.0666667	Stratovolcano
Adams Seamount	Pacific-C	Potassium-Argon	-25.36666667	-129.2666667	Submarine volcano
Macdonald	Austral Is-C Pacific	Historical	-28.98333333	-140.25	Submarine volcano
Northern EPR-Segment RO2	Pacific-E	Magnetism	16.55	-105.3166667	Submarine volcano
Northern EPR-Segment RO3	Pacific-E	Magnetism	15.83333333	-105.4333333	Submarine volcano
Unnamed	Pacific-E	Historical	10.73333333	-103.5833333	Submarine volcano
Unnamed	Pacific-E	Historical	9.833333333	-104.3	Submarine volcano
Galápagos Rift	Pacific-E	Historical	0.791666667	-86.15	Submarine volcano
Unnamed	Pacific-E	Historical	-8.266666667	-107.95	Submarine volcano
Southern EPR-Segment K	Pacific-E	Historical	-17.43611111	-113.2061111	Submarine volcano
Southern EPR-Segment J	Pacific-E	Magnetism	-18.175	-113.35	Submarine volcano
Southern EPR-Segment I	Pacific-E	Magnetism	-18.53333333	-113.4166667	Submarine volcano
Antipodes Island	Pacific-S	Holocene?	-49.68333333	178.7666667	Pyroclastic cones
Unnamed	Pacific-S	Uncertain	-53.9	-140.3	Submarine volcano
Unnamed	Pacific-S	Uncertain	-55.96666667	-143.1666667	Submarine volcano
Prieto, Cerro	México	Holocene?	32.41833333	-115.305	Lava dome
Pinacate	México	Holocene	31.7725	-113.4983333	Cinder cones
San Quintín Volc Field	México	Holocene?	30.46777778	-115.9963889	Cinder cones
San Luis, Isla	México	Holocene	29.96666667	-114.4	Tuff cone
Jaraguay Volc Field	México	Holocene	29.33333333	-114.5	Cinder cones
Coronado	México	Fumarolic	29.08333333	-113.5133333	Stratovolcano
Guadalupe	México	Holocene	29.06666667	-118.2833333	Shield volcano
San Borja Volc Field	México	Holocene	28.5	-113.75	Cinder cones
Unnamed	México	Uncertain	28	-115	Submarine volcano?
Tortuga, Isla	México	Holocene	27.43333333	-111.8833333	Shield volcano
Comondú-La Purísima	México	Holocene?	26	-111.9166667	Volcanic field
Tres Vírgenes	México	Holocene?	27.46972222	-112.5911111	Stratovolcanoes
Socorro	México-Is	Historical	18.78333333	-110.95	Shield volcano
Durango Volc Field	México	Holocene	24.15	-104.45	Cinder cones
Isabel, Isla	México	Holocene?	21.84833333	-105.8861111	Tuff cones
Sangangüey	México	Holocene	21.45	-104.7333333	Stratovolcano
Bárcena	México-Is	Historical	19.3	-110.8166667	Cinder cones
Mascota Volc Field	México	Holocene	20.61666667	-104.8333333	Cinder cones
Ceboruco	México	Historical	21.125	-104.5083333	Stratovolcano
Colima	México	Historical	19.51388889	-103.6166667	Stratovolcanoes
Zitácuaro-Valle de Bravo	México	Ar/Ar	19.4	-100.25	Caldera
Jocotitlán	México	Radiocarbon	19.73333333	-99.75833333	Stratovolcano
Michoacán-Guanajuato	México	Historical	19.85	-101.75	Cinder cones
Toluca, Nevado de	México	Radiocarbon	19.10833333	-99.75833333	Stratovolcano
Papayo	México	Holocene	19.30833333	-98.7	Lava dome
Iztaccíhuatl	México	Holocene	19.17888889	-98.64166667	Stratovolcano
Chichinautzin	México	Radiocarbon	19.08333333	-99.13333333	Volcanic field
Malinche, La	México	Radiocarbon	19.23083333	-98.03194444	Stratovolcano
Serdán-Oriental	México	Holocene	19.26666667	-97.46666667	Tuff cones
