CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
547645098,09/29/2016,23:00:00,09/29/2016,23:15:00,09/30/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,MANHATTAN,32,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1000001,238478,40.821236836,-73.943092722,"(40.821236836, -73.943092722)"
488758148,09/29/2016,22:50:00,09/29/2016,23:00:00,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE - APT. HOUSE,,,988333,149336,40.576576081,-73.985303502,"(40.576576081, -73.985303502)"
628866232,09/29/2016,22:40:00,09/29/2016,22:52:00,09/30/2016,348,VEHICLE AND TRAFFIC LAWS,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,113,,STREET,,,1046315,187088,40.679980738,-73.776233907,"(40.679980738, -73.776233907)"
368305643,09/29/2016,22:40:00,09/29/2016,22:48:00,09/30/2016,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,45,INSIDE,BAR/NIGHT CLUB,,,1042489,249971,40.852603767,-73.789483167,"(40.852603767, -73.789483167)"
904423198,09/29/2016,22:35:00,09/29/2016,22:50:00,09/30/2016,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,FRONT OF,PUBLIC BUILDING,,,1000103,186031,40.677282897,-73.94284782,"(40.677282897, -73.94284782)"
240966719,09/29/2016,22:30:00,09/30/2016,05:45:00,09/30/2016,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,94,,STREET,,,995971,205453,40.730598159,-73.957710804,"(40.730598159, -73.957710804)"
934382618,09/29/2016,22:30:00,,,09/30/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,109,FRONT OF,RESIDENCE-HOUSE,,,1037624,225347,40.785048721,-73.807264611,"(40.785048721, -73.807264611)"
471171455,09/29/2016,22:30:00,09/30/2016,10:00:00,09/30/2016,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,OPPOSITE OF,STREET,,,1012882,264897,40.89371668,-73.896440557,"(40.89371668, -73.896440557)"
398284862,09/29/2016,22:20:00,09/29/2016,22:30:00,09/30/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,CHAIN STORE,,,988050,214940,40.756644557,-73.986285275,"(40.756644557, -73.986285275)"
314163656,09/29/2016,22:16:00,09/29/2016,22:49:00,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE - APT. HOUSE,,,1023509,259913,40.879996299,-73.85803236,"(40.879996299, -73.85803236)"
