N 30 50 29.7,W 89 50 6,WBOX-AM,BOGALUSA,LA,920,1,30.841583,-89.835000
N 30 54 20.8,W 89 57 32.4,WBOX-FM,BOGALUSA,LA,92.9,3,30.905778,-89.959000
N 30 12 37.5,W 92 39 53.2,KJEF-AM,JENNINGS,LA,1290,1,30.210417,-92.664778
N 30 15 30,W 93 16 6.4,KLCL-AM,LAKE CHARLES,LA,1470,5,30.258333,-93.268444
N 32 41 0.5,W 93 51 33.6,KEEL-AM,SHREVEPORT,LA,710,50,32.683472,-93.859333
N 32 42 18.5,W 93 52 55.6,KWKH-AM,SHREVEPORT,LA,1130,50,32.705139,-93.882111
N 32 49 29.4,W 104 24 0.9,KSVP-AM,ARTESIA,NM,990,1,32.824833,-104.400250
N 34 22 41.3,W 103 12 23.8,KCLV-AM,CLOVIS,NM,1240,1,34.378139,-103.206611
N 34 20 55.3,W 102 57 19.8,KICA-AM,CLOVIS,NM,980,1.5,34.348694,-102.955500
N 34 21 48.3,W 103 13 6.8,KWKA-AM,CLOVIS,NM,680,5,34.363417,-103.218556
N 32 44 21.4,W 103 10 49.8,KHOB-AM,HOBBS,NM,1390,5,32.739278,-103.180500
N 32 48 59.4,W 103 13 57.8,KYKK-AM,HOBBS,NM,1110,5,32.816500,-103.232722
N 32 56 30.4,W 103 19 10.5,KLEA-AM,LOVINGTON,NM,630,0.5,32.941778,-103.319583
N 34 11 51.3,W 103 19 25.8,KSEL-AM ,PORTALES,NM,1450,1,34.197583,-103.323833
N 33 23 37.4,W 104 36 17.9,KBCQ-AM,ROSWELL,NM,1230,0.62,33.393722,-104.604972
N 33 26 26.3,W 104 31 36.9,KBIM-AM,ROSWELL,NM,910,1,33.440639,-104.526917
N 33 27 53.3,W 104 29 59.9,KCKN-AM,ROSWELL,NM,1020,50,33.464806,-104.499972
N 35 10 15.2,W 103 42 26.9,KTNM-AM,TUCUMCARI,NM,1400,1,35.170889,-103.707472
N 34 37 35.5,W 99 20 11.3,KWHW-AM,ALTUS,OK,1450,1,34.626528,-99.336472
N 35 2 57.2,W 99 5 49.5,KTJS-AM,HOBART,OK,1420,1,35.049222,-99.097083
N 35 23 53.5,W 97 27 4.7,KTLV-AM,MIDWEST CITY,OK,1220,0.25,35.398194,-97.451306
N 35 24 45.2,W 97 40 27.1,KQCV-AM,MUSTANG,OK,800,2.5,35.412556,-97.674194
