N 35 26 26.2,W 97 29 25.1,KEBC-AM,OKLAHOMA CITY,OK,1340,1,35.440611,-97.490306
N 35 21 29.2,W 97 27 49.1,KTOK-AM,OKLAHOMA CITY,OK,1000,5,35.358111,-97.463639
N 35 24 45.2,W 97 40 27.1,KQCV-FM,SHAWNEE,OK,95.1,100,35.412556,-97.674194
N 32 26 28,W 99 43 8.3,KSLI-AM,ABILENE,TX,1280,0.5,32.441111,-99.718972
N 32 25 14.5,W 99 43 55.3,KWKC-AM,ABILENE,TX,1340,1,32.420694,-99.732028
N 32 29 32.4,W 99 45 8.3,KYYW-AM,ABILENE,TX,1470,5,32.492333,-99.752306
N 32 27 25,W 99 48 4,KZQQ-AM,ABILENE,TX,1560,0.5,32.456944,-99.801111
N 29 33 28.8,W 98 22 33.1,KDRY-AM,ALAMO HIGHTS,TX,1100,11,29.558000,-98.375861
N 35 9 17.2,W 101 45 29.7,KIXZ-AM,AMARILLO,TX,940,5,35.154778,-101.758250
N 32 20 49.7,W 102 33 25.4,KACT-AM,ANDREWS,TX,1360,1,32.347139,-102.557056
N 30 22 30.7,W 97 42 59,KVET-AM ,AUSTIN,TX,1300,5,30.375194,-97.716389
N 31 43 41.7,W 99 57 43,KRUN-AM,BALLINGER,TX,1400,1,31.728250,-99.961944
N 30 2 43.8,W 93 52 15.6,KLVI-AM,BEAUMONT,TX,560,5,30.045500,-93.871000
N 32 15 42.4,W 101 27 38.2,KBST-AM,BIG SPRING,TX,1490,1,32.261778,-101.460611
N 35 41 5,W 101 23 13.2,KQTY-AM,BORGER,TX,1490,1,35.684722,-101.387000
N 33 35 8.4,W 97 48 26.1,KNTX-AM,BOWIE,TX,1410,0.5,33.585667,-97.807250
N 32 47 32.4,W 98 56 25.2,KROO-AM,BRECKENRIDGE,TX,1430,0.64,32.792333,-98.940333
N 29 52 45.8,W 96 2 8.8,KCHN-AM,BROOKSHIRE,TX,1050,0.41,29.879389,-96.035778
N 33 10 48,W 102 14 50.7,KKUB-AM,BROWNFIELD,TX,1300,1,33.180000,-102.247417
N 31 42 21.1,W 98 59 42.4,KXYL-AM,BROWNWOOD,TX,1240,1,31.705861,-98.995111
N 34 25 49.2,W 100 13 42.4,KCTX-AM,CHILDRESS,TX,1510,0.25,34.430333,-100.228444
N 31 51 16.5,W 99 25 47.2,KSTA-AM,COLEMAN,TX,1000,1,31.854583,-99.429778
N 27 48 1,W 97 27 40.4,KKTX-AM,CORPUS CHRISTI,TX,1360,1,27.800278,-97.461222
N 27 45 35.9,W 97 26 15,KUNO-AM,CORPUS CHRISTI,TX,1400,1,27.759972,-97.437500
N 28 43 57.9,W 100 29 35.3,KEPS-AM,EAGLE PASS,TX,1270,0.89,28.732750,-100.493139
N 31 45 26.4,W 106 22 34.9,KHEY-AM,EL PASO,TX,1380,5,31.757333,-106.376361
N 31 54 56.4,W 106 23 34.9,KROD-AM,EL PASO,TX,600,5,31.915667,-106.393028
N 31 58 11.4,W 106 21 16.9,KTSM-AM,EL PASO,TX,690,10,31.969833,-106.354694
N 34 23 12.5,W 103 1 52.5,KIJN-AM,FARWELL,TX,1060,10,34.386806,-103.031250
N 34 29 42.3,W 103 23 40.8,KMUL-AM,FARWELL,TX,830,1.1,34.495083,-103.394667
N 32 30 49.9,W 96 34 32.5,KDFT-AM,FERRIS,TX,540,0.25,32.513861,-96.575694
N 33 58 21.8,W 101 20 37.5,KFLP-AM,FLOYDATA,TX,900,0.25,33.972722,-101.343750
N 30 52 37.6,W 102 53 31.6,KFST-AM,FT.STOCKTON,TX,860,0.25,30.877111,-102.892111
N 33 7 37.4,W 98 35 36.2,KSWA-AM,GRAHAM,TX,1330,0.5,33.127056,-98.593389
N 29 31 25.8,W 98 43 26.1,KONO-FM,HELOTES,TX,101.1,96,29.523833,-98.723917
N 29 42 39.8,W 95 10 30.8,KXYZ-AM,HOUSTON,TX,1320,5,29.711056,-95.175222
N 32 36 28.5,W 96 57 54,KMNY-AM,HURST,TX,1360,50,32.607917,-96.965000
N 30 29 26.7,W 99 45 44.2,KMBL-AM,JUNCTION,TX,1450,1,30.490750,-99.762278
N 30 29 31.7,W 100 2 4.3,KOOK-FM,JUNCTION,TX,93.5,50,30.492139,-100.034528
N 30 4 14.8,W 99 11 8.2,KERV-AM,KERRVILLE,TX,1230,0.99,30.070778,-99.185611
N 32 25 2.5,W 94 51 9.8,KDOK-AM,KILGORE,TX,1240,1,32.417361,-94.852722
N 32 42 27.4,W 101 56 12.6,KPET-AM,LAMESA,TX,690,0.25,32.707611,-101.936833
N 33 35 55.3,W 102 23 9.4,KLVT-AM,LEVELLAND,TX,1230,1,33.598694,-102.385944
N 33 56 16.6,W 102 20 40.1,KZZN-AM,LITTLEFIELD,TX,1490,1,33.937944,-102.344472
N 33 32 50.8,W 101 49 24.6,KBZO-AM,LUBBOCK,TX,1460,1,33.547444,-101.823500
N 33 27 50.3,W 101 55 31.6,KFYO-AM,LUBBOCK,TX,790,5,33.463972,-101.925444
N 33 36 49.3,W 101 52 31.6,KJDL-AM,LUBBOCK,TX,1420,0.5,33.613694,-101.875444
N 33 34 56.3,W 101 49 34.6,KJTV-AM,LUBBOCK,TX,950,5,33.582306,-101.826278
N 33 33 24.3,W 101 51 47.6,KKAM-AM,LUBBOCK,TX,1340,1,33.556750,-101.863222
N 33 32 0.3,W 101 49 15.6,KRFE-AM,LUBBOCK,TX,580,0.5,33.533417,-101.821000
N 29 34 9.8,W 98 9 48,KBIB-AM,MARION,TX,1000,0.25,29.569389,-98.163333
N 32 28 17.8,W 100 0 20.3,KMXO-AM,MERKEL,TX,1500,0.25,32.471611,-100.005639
N 32 4 10.4,W 102 1 47.5,KCRS-AM,MIDLAND,TX,550,5,32.069556,-102.029861
N 31 57 48.9,W 97 42 58.9,KMND-AM,MIDLAND,TX,1510,2.4,31.96361,-97.716388
N 21 57 44.4,W 102 4 8.4,KWEL-AM,MIDLAND,TX,1070,2.5,21.962333,-102.069000
N 31 58 55.4,W 102 3 30.5,KLPF-AM,MIDLAND,TX,1150,1,31.982056,-102.058472
N 31 38 44.5,W 103 0 8.6,KCKM-AM,MONAHANS,TX,1330,5,31.645694,-103.002389
N 31 31 36.7,W 94 39 29.8,KSFA-AM,NACOGDOCHES,TX,860,1,31.526861,-94.658278
N 29 39 47.8,W 98 10 19,KGNB-AM,NEW BRAUNFELS,TX,1420,1,29.663278,-98.171944
N 21 49 15,W 102 25 45.5,KFLB-AM,ODESSA,TX,920,1,21.820833,-102.429306
N 31 49 50.5,W 102 22 10.5,KOZA-AM,ODESSA,TX,1230,1,31.830694,-102.369583
N 31 49 33.5,W 102 21 22.5,KRIL-AM,ODESSA,TX,1410,0.9,31.825972,-102.356250
N 24 12 47.3,W 101 43 25.5,KREW-AM,PLAINVIEW,TX,1400,1,24.213139,-101.723750
N 34 5 32.2,W 101 38 27.6,KVOP-AM,PLAINVIEW,TX,1090,5,34.092278,-101.641000
N 34 18 55.3,W 99 44 50.3,KOLJ-AM,QUANAH,TX,1150,0.5,34.315361,-99.747306
N 31 29 40.6,W 100 24 53.3,KGKL-AM,SAN ANGELO,TX,960,5,31.494611,-100.414806
N 31 29 15.3,W 100 26 58.9,KKSA-AM,SAN ANGELO,TX,1260,0.54,31.487583,-100.449694
N 29 31 25.8,W 98 43 26.1,KCYY.FM,SAN ANTONIO,TX,100.3,98,29.523833,-98.723917
N 29 21 30.8,W 98 21 6,KEDA-AM,SAN ANTONIO,TX,1540,5,29.358556,-98.351667
N 29 16 29.9,W 98 15 53,KISS-FM,SAN ANTONIO,TX,99.5,97.7,29.274972,-98.264722
N 29 23 29.8,W 98 21 1,KSLR-AM,SAN ANTONIO,TX,630,5.0 D,29.391611,-98.350278
N 29 31 50.8,W 98 7 14,KSLR-AM,SAN ANTONIO,TX,630,4.3 N,29.530778,-98.120556
N 29 26 58.8,W 98 18 34,KTKR-AM,SAN ANTONIO,TX,760,50,29.449667,-98.309444
N 29 30 7.8,W 98 7 44,WOAI-AM,SAN ANTONIO,TX,1200,50,29.502167,-98.128889
N 29 30 3.8,W 98 49 55.1,KKYX-AM,SAN ANTONIO,TX,680,50,29.501056,-98.831972
N 29 26 35.8,W 98 245 5.1,KONO-AM,SAN ANTONIO,TX,860,5,29.443278,-102.084750
N 32 41 56.4,W 102 38 21.7,KIKZ-AM,SEMINOLE,TX,1250,1,32.699000,-102.639361
N 29 16 29.9,W 98 15 53,KSMG-FM,SEQUIN,TX,105.3,97.5,29.274972,-98.264722
N 32 43 24.2,W 100 56 18.7,KSNY-AM,SNYDER,TX,1450,1,32.723389,-100.938528
N 32 43 24.4,W 100 56 18.2,KSNY-FM,SNYDER,TX,1450,1,32.723444,-100.938389
N 30 33 36.7,W 100 37 55.3,KHOS-FM,SONORA,TX,92.1,3,30.560194,-100.632028
N 32 55 50.4,W 99 46 58,KVRP-AM,STAMFORD,TX,1400,1,32.930667,-99.782778
N 29 31 9.8,W 98 24 14.1,KLUP-AM,TERRELL HILLS,TX,930,5,29.519389,-98.403917
N 29 11 3.9,W 98 30 50.1,KTKX-FM,TERRELL HILLS,TX,106.7,100,29.184417,-98.513917
N 33 22 26.5,W 94 0 58.7,KOSY-AM,TEXARKANA,TX,790,1,33.374028,-94.016306
N 29 11 16.9,W 99 46 38.2,KVOU-AM,UVALDE,TX,1400,1,29.188028,-99.777278
N 34 9 14.6,W 99 15 59.8,KVWC-AM,VERNON,TX,1490,1,34.154056,-99.266611
N 31 31 42.6,W 97 7 15,KWTX-AM,WACO,TX,1230,1,31.528500,-97.120833
N 33 57 39.3,W 98 33 44.3,KWFS-AM,WICHITA FALLS,TX,1290,5,33.960917,-98.562306
