811571820,08/05/2016,02:40:00,08/05/2016,02:50:00,08/05/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,FRONT OF,STREET,,,1006181,217947,40.764871618,-73.920831286,(40.764871618: -73.920831286)
408112238,08/04/2016,11:57:00,08/04/2016,12:00:00,08/04/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,112,INSIDE,CLOTHING/BOUTIQUE,,,1027728,201469,40.719563975,-73.843153984,(40.719563975: -73.843153984)
777607364,08/03/2016,18:40:00,08/03/2016,18:45:00,08/03/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1042156,195210,40.70230188,-73.791158786,(40.70230188: -73.791158786)
438046539,08/03/2016,13:40:00,08/03/2016,13:40:00,08/03/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,106,INSIDE,VARIETY STORE,,,1031719,188590,40.684193684,-73.828847211,(40.684193684: -73.828847211)
965141783,07/28/2016,10:35:00,07/28/2016,10:40:00,07/28/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,115,,STREET,,,1015113,217226,40.762865992,-73.888590411,(40.762865992: -73.888590411)
290212581,07/24/2016,19:06:00,07/24/2016,19:30:00,07/25/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108,,STREET,,,1012907,211673,40.747631853,-73.896577415,(40.747631853: -73.896577415)
313752791,07/24/2016,18:30:00,07/24/2016,18:45:00,07/24/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,115,INSIDE,CHECK CASHING BUSINESS,,,1019903,213435,40.752442656,-73.871319319,(40.752442656: -73.871319319)
558199389,07/20/2016,14:50:00,07/20/2016,14:50:00,07/20/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1040339,195947,40.70433647,-73.797705781,(40.70433647: -73.797705781)
621837951,07/15/2016,15:00:00,,,07/15/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,INSIDE,CHAIN STORE,,,1047905,198441,40.711130697,-73.770394101,(40.711130697: -73.770394101)
658278327,07/15/2016,14:32:00,07/15/2016,14:32:00,07/15/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,INSIDE,COMMERCIAL BUILDING,,,1041036,197972,40.709890158,-73.79517485,(40.709890158: -73.79517485)
978039998,07/05/2016,08:00:00,07/13/2016,14:30:00,07/13/2016,358,OFFENSES INVOLVING FRAUD,705,FORGERY:ETC.-MISD.,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,106,INSIDE,BAR/NIGHT CLUB,,,1031898,186190,40.677605279,-73.82821878,(40.677605279: -73.82821878)
