OFNS_DESC
DANGEROUS WEAPONS
ASSAULT 3 & RELATED OFFENSES
CRIMINAL MISCHIEF & RELATED OF
OFF. AGNST PUB ORD SENSBLTY &
FORGERY
BURGLARY
DANGEROUS DRUGS
GRAND LARCENY
PETIT LARCENY
OFFENSES AGAINST PUBLIC ADMINI
HARRASSMENT 2
FELONY ASSAULT
OFFENSES AGAINST THE PERSON
VEHICLE AND TRAFFIC LAWS
SEX CRIMES
MISCELLANEOUS PENAL LAW
ROBBERY
AGRICULTURE & MRKTS LAW-UNCLASSIFIED
CRIMINAL TRESPASS
ADMINISTRATIVE CODE
INTOXICATED & IMPAIRED DRIVING
GRAND LARCENY OF MOTOR VEHICLE
ARSON
OTHER OFFENSES RELATED TO THEF
BURGLAR'S TOOLS
RAPE
THEFT-FRAUD
POSSESSION OF STOLEN PROPERTY
UNAUTHORIZED USE OF A VEHICLE
OFFENSES INVOLVING FRAUD
KIDNAPPING & RELATED OFFENSES
NYS LAWS-UNCLASSIFIED FELONY
MURDER & NON-NEGL. MANSLAUGHTER
FRAUDS
THEFT OF SERVICES
PETIT LARCENY OF MOTOR VEHICLE
GAMBLING
"LOITERING/GAMBLING (CARDS, DIC"
ENDAN WELFARE INCOMP
CHILD ABANDONMENT/NON SUPPORT
PROSTITUTION & RELATED OFFENSES
ALCOHOLIC BEVERAGE CONTROL LAW
OTHER STATE LAWS (NON PENAL LA
OFFENSES RELATED TO CHILDREN
FRAUDULENT ACCOSTING
KIDNAPPING
NEW YORK CITY HEALTH CODE
DISORDERLY CONDUCT
JOSTLING
OFFENSES AGAINST PUBLIC SAFETY
NYS LAWS-UNCLASSIFIED VIOLATION
OTHER STATE LAWS
ESCAPE 3
DISRUPTION OF A RELIGIOUS SERV
UNLAWFUL POSS. WEAP. ON SCHOOL
OTHER STATE LAWS (NON PENAL LAW)
"HOMICIDE-NEGLIGENT,UNCLASSIFIE"
ANTICIPATORY OFFENSES
ADMINISTRATIVE CODES
HOMICIDE-NEGLIGENT-VEHICLE
